Country,Year,HAQ_Index,Life_Expectancy,Health_Expenditure,Efficiency_Score
Mozambique,2015,43.0,58.711,87.108765,0.49363574377389
Myanmar,2005,39.5,61.7204,43.168056,0.9150284645664841
Myanmar,2010,44.4,63.4791,61.104813,0.7266203400376988
Myanmar,2015,48.4,65.2877,231.92606,0.20868719970494043
Namibia,2005,43.5,52.557,738.3881,0.05891210868647531
Namibia,2010,50.4,56.0935,894.0485,0.05637278067129468
Namibia,2015,53.7,60.0083,1044.61,0.051406745101042504
Nepal,2005,45.7,65.2755,73.361336,0.6229439442051602
Nepal,2010,48.2,66.7724,106.42123,0.4529171482043574
Nepal,2015,50.8,67.3736,161.65088,0.31425749120573915
Netherlands,2005,85.1,79.488,3425.683,0.02484176148230878
Netherlands,2010,88.2,80.8293,4584.604,0.019238302806523746
Netherlands,2015,89.5,81.49,5205.1987,0.017194348411713852
New Zealand,2005,82.5,80.0308,2123.814,0.03884520960875105
New Zealand,2010,84.2,81.0517,2848.0325,0.029564269368414865
New Zealand,2015,86.2,81.5866,3337.0369,0.0258312996179335
Nicaragua,2005,58.8,70.3745,215.1238,0.27333098429834357
Nicaragua,2010,61.8,71.7608,311.66202,0.1982917264028514
Nicaragua,2015,64.3,72.8989,433.8967,0.14819195444445646
Niger,2005,37.7,53.3203,52.0516,0.7242812901044349
Niger,2010,40.3,57.0796,52.331837,0.7700857128328974
Niger,2015,41.0,58.8498,62.678722,0.6541294827294022
Nigeria,2005,43.1,49.5377,155.67549,0.2768579690996958
Nigeria,2010,48.8,51.3145,149.82187,0.3257201368531844
Nigeria,2015,51.3,51.9394,185.88365,0.2759790869180802
Norway,2005,85.9,80.1695,3995.3965,0.021499743517320497
Norway,2010,88.0,81.0392,5190.1245,0.016955277277067245
Norway,2015,90.5,82.2728,6144.907,0.014727643559129536
Oman,2005,76.2,75.0705,989.06213,0.0770426828494586
Oman,2010,72.9,77.1844,1378.2631,0.052892658883488944
Oman,2015,77.1,79.3457,1470.5321,0.05243000135801184
Pakistan,2005,38.1,62.4163,78.14133,0.48757808447847
Pakistan,2010,41.2,64.3784,91.98029,0.447922049386885
Pakistan,2015,43.1,65.6406,111.77954,0.38558040228113305
Palestine,2005,68.7,72.0041,330.04895,0.20815094245868682
Palestine,2010,69.0,73.3018,337.2892,0.20457221873691775
Palestine,2015,70.5,74.5773,505.93225,0.1393467208307041
Panama,2005,61.3,75.1604,676.7189,0.09058414062323367
Panama,2010,62.2,76.417,1135.3507,0.054784834324759744
Panama,2015,64.4,77.5827,1899.9714,0.03389524705477146
Papua New Guinea,2005,34.0,61.8678,54.668835,0.6219265510230829
Papua New Guinea,2010,35.8,63.0557,58.861263,0.6082098510186571
Papua New Guinea,2015,38.6,64.473,66.74537,0.5783172675497942
Paraguay,2005,57.4,71.3174,386.6718,0.14844630510939769
Paraguay,2010,58.6,72.5506,595.42194,0.09841760281792775
Paraguay,2015,60.4,73.4535,848.4392,0.07118954428319672
Peru,2005,62.7,71.9882,298.624,0.20996303043291897
Peru,2010,65.9,72.8858,462.35614,0.14253082050559554
Peru,2015,69.6,75.7316,578.20306,0.12037293611002334
Philippines,2005,47.6,68.4231,160.51903,0.2965380491023401
Philippines,2010,49.6,68.8833,226.76465,0.21872897737808783
Philippines,2015,52.0,69.4501,268.7575,0.1934829725682074
Poland,2005,73.8,75.127,806.7943,0.0914731301398634
Poland,2010,76.3,76.2823,1351.6937,0.05644769965266539
Poland,2015,79.6,77.5894,1717.3593,0.04635023084569431
Portugal,2005,79.7,78.3169,2195.496,0.036301591986503276
Portugal,2010,81.9,80.1149,2734.485,0.02995079512229908
Portugal,2015,84.5,81.3213,2754.2363,0.03068001100704395
Qatar,2005,77.5,76.9088,2960.8838,0.026174617186935874
Qatar,2010,83.1,79.4438,2566.636,0.032377010218823395
Qatar,2015,85.2,81.785,3601.2363,0.023658541929059196
Romania,2005,67.2,71.5808,529.23114,0.12697665522856422
Romania,2010,71.1,73.5793,976.40875,0.07281786444457815
Romania,2015,74.4,74.7371,1066.2156,0.0697795080094495
Russia,2005,62.9,65.2185,599.9356,0.10484458665230068
Russia,2010,68.5,68.1526,1083.1472,0.06324163511663049
Russia,2015,71.7,71.3449,1285.2113,0.055788491744509255
Rwanda,2005,42.6,56.9683,70.59744,0.6034213138606725
Rwanda,2010,47.0,62.804,106.19062,0.442600297465068
Rwanda,2015,47.8,65.4188,118.42432,0.4036333077530021
Saint Lucia,2005,58.5,72.5437,525.47156,0.1113285750421964
Saint Lucia,2010,61.1,72.7676,642.568,0.09508721255960459
Saint Lucia,2015,62.5,72.9319,657.23694,0.09509508093078274
Saint Vincent and the Grenadines,2005,55.2,70.4538,361.19513,0.15282598079326265
Saint Vincent and the Grenadines,2010,56.7,70.66,454.4329,0.12477089576921037
Saint Vincent and the Grenadines,2015,57.5,70.4626,509.35236,0.11288845309365014
Samoa,2005,58.6,71.4868,208.18312,0.28148295596684303
Samoa,2010,60.7,71.4512,269.38367,0.2253291745561266
Samoa,2015,62.1,71.0599,341.68405,0.18174685063584325
Sao Tome and Principe,2005,44.0,62.4344,225.84563,0.19482334017266573
Sao Tome and Principe,2010,47.3,63.8667,158.17316,0.29903935661397923
Sao Tome and Principe,2015,49.6,66.0231,206.12692,0.24062844387331844
Saudi Arabia,2005,74.2,74.4004,1832.3513,0.04049441829195089
Saudi Arabia,2010,77.0,75.6161,2047.3647,0.03760932285293382
Saudi Arabia,2015,79.4,77.7762,3036.1897,0.026151198655340938
Senegal,2005,41.5,60.9801,86.36199,0.48053547631313265
Senegal,2010,42.9,64.2214,107.23622,0.40005140054358496
Senegal,2015,44.4,66.4511,131.08649,0.3387076730790488
Serbia,2005,69.4,73.1151,759.0367,0.09143167912697767
Serbia,2010,73.1,74.3762,1216.5818,0.060086383011812274
Serbia,2015,75.4,75.653,1312.5112,0.057447128832119686
Seychelles,2005,61.1,71.9209,614.6241,0.0994103550446525
Seychelles,2010,63.9,72.4771,780.3269,0.08188875713499047
Seychelles,2015,66.1,72.2854,940.5098,0.07028103269099374
Sierra Leone,2005,36.1,48.306,81.087425,0.4451985002606755
Sierra Leone,2010,38.2,51.9272,106.76479,0.3577958613509192
Sierra Leone,2015,41.3,55.454,315.22684,0.13101676240513022
Singapore,2005,80.8,80.2706,1783.3739,0.04530738057790348
Singapore,2010,84.2,81.6472,2411.372,0.034917880774928134
Singapore,2015,86.3,82.7479,3650.0352,0.02364360760137327
